strategy,full_sharpe,recent_sharpe,recent_ic,ic_lag1,ic_lag5,ic_lag10,ou_half_life,alpha_slope,cusum_break,cusum_max_dev,chow_breakpoint,chow_p_value,profit_factor,verdict
Peer Lead-Lag,-0.0122,2.212,0.22,-0.009113741514439532,0.07035729102290432,-0.030533974426338584,107.1,-0.000309,False,1.163,2025-03-14,0.0016,2.136,HEALTHY
Market Contrarian,1.2365,0.172,-0.1536,0.12734852991940906,-0.0009620838106575007,-0.10137306053225881,123.3,-0.001796,False,1.332,2025-03-21,0.0007,1.205,RECALIBRATE
Momentum+Stop,3.3581,1.477,0.0,,,,102.5,-0.000733,False,1.188,2025-03-14,0.0013,1.307,MONITOR
Mean Reversion,-0.3268,2.446,0.1251,0.013573873376285937,-0.06640457903844536,0.06405132048282786,121.4,-0.000622,False,0.943,2025-03-14,0.0119,1.447,MONITOR
Multi-TF Momentum,0.9022,-1.139,-0.1246,0.07996800617714217,0.06803882467363792,0.002195864545415559,61.7,-0.000876,False,1.289,2025-03-14,0.0005,0.933,RECALIBRATE
Combined Best,1.0856,0.062,0.1976,0.10297262674010775,0.08120368618416975,0.05636040337377965,168.0,-0.000894,False,1.225,2025-03-14,0.0014,1.712,HEALTHY
Regime Conditional,0.5307,-1.302,-0.0061,0.17339612694193196,0.024311273762855384,-0.03499303608732146,83.2,-0.001354,False,1.334,2025-03-14,0.0009,0.966,RECALIBRATE
DIX Enhanced,0.519,-1.441,0.0036,0.051995701499574914,0.014540204940255668,0.06476463662074607,325.9,-0.001062,False,1.227,2025-04-22,0.0055,0.734,RECALIBRATE
Vol Breakout,-1.1412,-1.371,-0.2127,-0.13490560437060953,0.17881715595125383,0.005570462344300384,161.9,-0.000417,False,1.317,2025-03-14,0.0008,0.504,RECALIBRATE
Gap Fade,0.0575,-2.163,0.0,0.15549158041176175,0.20732210721568234,-0.19536475671775644,140.1,-0.00098,False,1.097,2025-03-14,0.0049,1.224,RECALIBRATE
Adaptive Ensemble,1.7902,-1.485,-0.0229,0.10414017992096718,0.0633453607266817,0.020965614417746657,134.3,-0.001561,False,1.257,2025-03-14,0.001,0.94,RECALIBRATE
ML Direction,4.0567,1.932,-0.1417,0.10254355992664324,-0.03681050869161552,-0.04338077561792145,119.2,-0.001252,False,0.675,2025-04-09,0.1216,2.587,RECALIBRATE
