Model,Full Sharpe,Annual Return,Max DD,Hit Rate,N Trades,Train Sharpe,Val Sharpe,Test Sharpe,Train-Test Gap,Bootstrap Mean,CI 2.5%,CI 97.5%,P(Sharpe>0),Perm p-value,Perm Pctl,P(alpha>0) Skeptical,P(alpha>0) Uninform
SVM (RBF),4.2059,3.1221,-0.3011,0.6429,53,-0.6165,20.0,9.9838,10.6003,2.118883661244222,0.3736236400515916,3.660135222894002,0.9888,0.022,97.8,0.7705241563270306,0.9846176397263302
SVM (RBF) (VolAdj),2.1855,0.4066,-0.0766,0.6429,81,-1.4522,11.3234,3.5643,5.0165,1.746198016322533,-0.04669801202791363,3.3375150462848513,0.9714,0.02,98.0,0.9529986351044034,0.9752093598740951
LogReg (ElNet) (VolAdj),1.4434,0.3027,-0.1131,0.5278,98,-2.3998,19.4176,1.1246,3.5244,1.254896702082782,-0.575219681964699,2.8005361741310346,0.9232,0.074,92.60000000000001,0.8755976710801965,0.9161694088722301
LogReg (ElNet),1.5209,1.2369,-0.4456,0.5278,55,-1.3294,20.0,0.3715,1.7008999999999999,1.303941924596427,-0.5746372940267902,2.981404209037583,0.9248,0.204,79.60000000000001,0.6630832420415023,0.9024772558887775
Random Forest (VolAdj),0.6062,0.1598,-0.1247,0.5479,102,-0.834,20.0,-0.1893,0.6446999999999999,0.6385546247355856,-1.5110485245262482,2.5828706677026334,0.7252,0.27,73.0,0.7090716947415997,0.7471761574647233
Random Forest,0.3646,0.3593,-0.4926,0.5479,60,-0.5492,20.0,-0.5422,0.007000000000000006,0.7207175751299417,-1.4892001826049106,2.80957688426346,0.7448,0.434,56.599999999999994,0.5830273281149017,0.7552292424758288
Adaptive Ensemble (Fixed),1.5455,0.6821,-0.2593,0.5229,200,3.2364,0.8939,-0.6022,3.8386,1.3467530478126168,-0.44346677350528185,3.081084821421158,0.9316,0.078,92.2,0.7804905957916026,0.9203793874046827
LightGBM,-0.4934,-0.4181,-0.6809,0.5043,77,-1.0674,20.0,-0.722,0.34539999999999993,-0.1653146885382913,-2.3784731019571077,1.895993450017608,0.4492,0.644,35.6,0.48404084239919287,0.4425648340893954
XGBoost,0.0391,0.0824,-0.6074,0.5591,70,-0.0202,20.0,-0.777,0.7568,0.45913405550802444,-1.6284674675300197,2.477437860588462,0.6736,0.486,51.4,0.5530750020338568,0.6667762495443522
XGBoost (VolAdj),0.2818,0.1009,-0.1525,0.5591,120,-0.2748,14.4288,-0.8802,0.6053999999999999,0.37291085725700485,-1.6046019808687286,2.233282073165597,0.6474,0.344,65.60000000000001,0.6183773430651478,0.6420278157491012
Adaptive Ensemble (Fixed) (VolAdj),0.9608,0.1475,-0.0723,0.5229,218,2.0271,0.4717,-1.0094,3.0365,0.8930603428764149,-0.9123056818457225,2.6259779721058996,0.8362,0.086,91.4,0.8161896651550524,0.8325246071129321
MLP Neural Net,-0.547,-0.3515,-0.7375,0.4756,82,3.0598,4.2673,-1.0912,4.151,-0.324000319038301,-2.45745241276989,1.7238514414138602,0.3824,0.786,21.4,0.4614070016736377,0.3882947094418122
LightGBM (VolAdj),-0.5566,-0.0636,-0.2301,0.5043,133,-1.4209,20.0,-1.4944,0.0734999999999999,-0.45156984901542235,-2.5468255386707725,1.5977989140982718,0.3382,0.61,39.0,0.34904109573663766,0.31266414775012297
MLP Neural Net (VolAdj),-0.6594,-0.053,-0.2297,0.4756,115,1.8987,2.1445,-2.656,4.5547,-0.6446678508756588,-2.643354684740368,1.3237382968678115,0.258,0.664,33.6,0.296092133026588,0.2673324780031676
